12/09/2024,"-7.90","STARBUCKS COFFEE B01 CHIPPENDALE AU","+2018.18"
12/09/2024,"-0.10","International Transaction Fee Value Date: 09/09/2024","+2026.08"
12/09/2024,"-2.92","Google One Mountain View CA USA Card xx1037 IDR 29859.00 Value Date: 09/09/2024","+2026.18"
11/09/2024,"-5.00","TIMEZONE HAYMARKET AU Card xx1037","+2029.10"
11/09/2024,"-20.00","TIMEZONE HAYMARKET AU Card xx1037","+2034.10"
11/09/2024,"-16.40","PMC GOLDEN TOWER PTY L HAYMARKET AU","+2054.10"
11/09/2024,"-20.00","TIMEZONE HAYMARKET AU Card xx1037","+2070.50"
11/09/2024,"-3.40","Provender Australia SilverwateNSWAU","+2090.50"
11/09/2024,"-3.40","Provender Australia SilverwateNSWAU","+2093.90"
10/09/2024,"-26.60","GRILLD PTY LTD - BROAD BROADWAY AU Card xx1037","+2097.30"
10/09/2024,"-10.29","QONUS* HIW SO CHATSWOOD NS AUS Card xx1037 Value Date: 07/09/2024","+2123.90"
10/09/2024,"-19.45","QONUS* HIW SO CHATSWOOD NS AUS Card xx1037 Value Date: 07/09/2024","+2134.19"
10/09/2024,"-13.99","Spotify P2FB84FF4B Sydney AU AUS Card xx1037 Value Date: 08/09/2024","+2153.64"
09/09/2024,"-16.40","PMC GOLDEN TOWER PTY L HAYMARKET AU","+2167.63"
09/09/2024,"-20.00","TIMEZONE HAYMARKET AU Card xx1037","+2184.03"
09/09/2024,"-24.28","Little Indo Town Chippendale AU","+2204.03"
08/09/2024,"-7.21","Sharetea RSQ Chippendale AU","+2228.31"
08/09/2024,"-20.00","TIMEZONE HAYMARKET AU Card xx1037","+2235.52"
08/09/2024,"-27.91","Zhangliang spicy hotp Haymarket AU","+2255.52"
07/09/2024,"-20.00","TIMEZONE HAYMARKET AU Card xx1037","+2283.43"
07/09/2024,"-23.63","ENJOY MIE SYDNEY 02 AUS Card xx1037 Value Date: 05/09/2024","+2303.43"
06/09/2024,"-15.40","MCDONALDS BROADWAY SYDNEY NSWAU","+2327.06"
06/09/2024,"-20.00","TIMEZONE HAYMARKET AU Card xx1037","+2342.46"
06/09/2024,"-20.10","HUNGER KEBAB PTY LTD ULTIMO NS AUS Card xx1037 Value Date: 03/09/2024","+2362.46"
06/09/2024,"-9.99","APPLE.COM/BILL SYDNEY AU AUS Card xx1037 Value Date: 03/09/2024","+2382.56"
06/09/2024,"-19.45","QONUS* HIW SO CHATSWOOD NS AUS Card xx1037 Value Date: 04/09/2024","+2392.55"
06/09/2024,"-33.48","APPLE.COM/BILL SYDNEY AU AUS Card xx1037 Value Date: 04/09/2024","+2412.00"
05/09/2024,"-20.00","TIMEZONE HAYMARKET AU Card xx1037","+2445.48"
05/09/2024,"-123.68","Direct Debit 119218 Vodafone Aus A3-2bb1ef01a","+2465.48"
05/09/2024,"-7.21","Sharetea RSQ Chippendale AU","+2589.16"
05/09/2024,"-16.30","SUSHI HUB BROADWAY HAYMARKET NS AUS Card xx1037 Value Date: 02/09/2024","+2596.37"
04/09/2024,"-20.00","TIMEZONE HAYMARKET AU Card xx1037","+2612.67"
04/09/2024,"-20.00","TIMEZONE HAYMARKET AU Card xx1037","+2632.67"
04/09/2024,"-7.90","STARBUCKS COFFEE B00 SYDNEY AU","+2652.67"
04/09/2024,"+0.01","Refund Purchase UBER* TRIP","+2660.57"
04/09/2024,"-18.69","UBER* TRIP","+2660.56"
04/09/2024,"-13.99","CRUNCHYROLL *AUD 415-503-9235 CA USA Card xx1037 AUD 13.99 Value Date: 02/09/2024","+2679.25"
04/09/2024,"-21.98","ENJOY MIE SYDNEY 02 AUS Card xx1037 Value Date: 02/09/2024","+2693.24"
03/09/2024,"-39.31","PEPPER LUNCH SYDNEY NSWAU","+2715.22"
03/09/2024,"-19.18","SWEET TOWN ON GEORGE HAYMARKET 02 AUS Card xx1037 Value Date: 30/08/2024","+2754.53"
03/09/2024,"-20.10","HUNGER KEBAB PTY LTD ULTIMO NS AUS Card xx1037 Value Date: 31/08/2024","+2773.71"
